cluster_id,cluster_keyword,keywords_in_cluster,total_keywords_in_cluster
172,baseball topps cards,1948 bowman 44 johnny wyrostek psa vg-ex 4 | 1951 bowman #253 mickey mantle rookie card psa 9 | 1951 bowman baseball mickey mantle rookie card | 1951 bowman mickey mantle #253 | 1951 bowman mickey mantle psa mt 9 | 1951 bowman mickey mantle rookie card | 1952 bowman 5 orestes minoso psa nm 7 | 1952 bowman mickey mantle #101 | 1952 bowman mickey mantle #101 psa 3 | 1952 topps #311 mickey mantle sgc 9.5 | 1952 topps #312 jackie robinson psa 9 | 1952 topps 195 orestes minoso psa vg-ex 4 | 1952 topps 237 jerry coleman psa nm 7 | 1952 topps 250 carl erskine psa nm 7 | 1952 topps 262 virgil trucks psa nm 7 | 1952 topps 58 bob mahoney psa nm 7 | 1952 topps mickey mantle | 1952 topps mickey mantle #311 | 1952 topps mickey mantle #311 baseball card | 1952 topps mickey mantle #311 psa 9 | 1952 topps mickey mantle #311 sgc 9 | 1952 topps mickey mantle #311 sgc 9.5 | 1952 topps mickey mantle #311 sgc 9.5 rosen find | 1952 topps mickey mantle card | 1952 topps mickey mantle rookie card | 1952 topps mickey mantle rookie card psa 8 | 1952 topps mickey mantle rookie card psa 9 | 1952 topps mickey mantle sgc 9 | 1952 topps mickey mantle sgc mt 9.5 | 1953 bowman mantle/berra/bauer #44 | 1953 bowman mickey mantle #59 | 1953 topps 55 maurice mcdermott psa vg-ex+ 4.5 | 1953 topps duke snider | 1953 topps jackie robinson | 1953 topps mickey mantle | 1953 topps mickey mantle #182 psa 4.5 | 1953 topps mickey mantle #82 | 1953 topps pee wee reese | 1953 topps philip rizzuto | 1953 topps roy campanella | 1953 topps yogi berra | 1954 bowman 118 robert r. boyd psa ex 5 | 1954 bowman 164 early wynn psa ex-mt 6 | 1954 bowman 165 johnny groth psa ex 5 | 1954 bowman 167 bill hoeft psa ex-mt 6 | 1954 bowman 183 matt batts psa ex 5 | 1954 bowman 195 bob cain psa nm-mt 8 | 1954 bowman 203 vic janowicz psa nm 7 | 1954 bowman 37 dick kokos psa ex+ 5.5 | 1954 bowman 38 minnie minoso .895/.961 field avg. psa nm 7 | 1954 bowman 53 don lenhardt .969/.984 field avg. psa ex 5 | 1954 bowman 73 don mueller psa ex-mt 6 | 1954 bowman 77 bob rush psa ex+ 5.5 | 1954 bowman 79 curt simmons psa nm 7 | 1954 bowman 86 harry dorish psa ex 5 | 1954 bowman mickey mantle #65 | 1954 topps henry aaron rookie card | 1955 bowman mickey mantle #202 | 1955 topps #164 roberto clemente rookie card psa 9 | 1955 topps baseball | 1955 topps roberto clemente | 1955 topps roberto clemente psa mt 9 | 1956 topps mickey mantle #135 | 1957 topps #95 mickey mantle psa nm-mt 8 | 1957 topps baseball cards | 1957 topps mantle/berra #407 | 1957 topps mickey mantle #95 | 1958 topps mantle/aaron #418 | 1958 topps mickey mantle #150 | 1958 topps mickey mantle all-star #487 | 1959 topps baseball thrills #461 | 1959 topps mickey mantle #10 | 1959 topps mickey mantle all-star #564 | 1959 topps willie mays baseball card | 1960 topps carl yastrzemski #148 psa 9 | 1960 topps mantle/boyer #160 | 1960 topps mickey mantle #350 | 1960 topps mickey mantle all star #563 | 1960 topps willie mccovey #316 psa 9 | 1961 topps al home run leaders #44 | 1961 topps mantle 565 ft hr #406 | 1961 topps mantle all star #578 | 1961 topps mantle mvp #475 | 1961 topps mantle slams 2 homers #307 | 1961 topps mickey mantle #300 | 1962 topps lou brock #387 psa 9 | 1962 topps mantle all star #471 | 1962 topps mantle/mays #18 | 1962 topps mickey mantle #200 | 1963 topps bombers' best #173 | 1963 topps mickey mantle #200 | 1963 topps rookie stars pete rose #537 psa 9 | 1964 topps a.l. bombers #331 | 1964 topps mickey mantle #50 | 1965 topps mickey mantle #350 | 1966 topps mickey mantle #50 | 1967 topps mickey mantle #150 | 1968 topps mets rookies nolan ryan jerry koosman #177 psa 9 | 1968 topps mickey mantle #280 | 1968 topps nolan ryan rookie card | 1968 topps nolan ryan/jerry koosman rookie card graded by company-1 | 1968 topps super stars #490 | 1969 topps #260 reggie jackson rookie card psa 10 | 1969 topps #500 mickey mantle (white letters) psa 9 | 1969 topps mickey mantle #500 yellow letter variation | 1969 topps reggie jackson #260 psa 9 | 1969 topps series 5 checklist #412 white letter variation | 1970 topps thurman munson rookie card sgc 3 | 1971 topps black-bordered baseball card carl morton gem mint | 1980 topps rickey henderson rookie card | 1983 topps ryne sandberg rookie card | 1983 topps wade boggs rookie card | 1985 topps gary pettis wrong photo error card | 1985 topps team usa mark mcgwire rookie card | 1987 topps baseball card | 1988 topps al leiter steve george error rookie card | 1990 topps #414 frank thomas | 1990 topps #414 frank thomas no name on front | 1990 topps #usa1 george bush | 1990 topps baseball box | 1990 topps frank thomas no name on front error rookie card | 1991 bowman baseball box | 1991 topps #333 chipper jones | 1992 bowman #302 mariano rivera | 1993 topps #98 derek jeter | 1994 topps willie mays baseball card reprint | 2006 topps alex gordon rookie error card | 2009 bowman mike trout rookie card | 2011 topps update mike trout rookie card | 2015 topps mike trout #300 card | 2017 topps aaron judge rookie card | 2017 topps giancarlo stanton baseball card | 2017 topps mike trout baseball card | 2023 topps baseball cards | 2024 bowman yoshinobu yamamoto rookie graded mgco. gem mint 10 | 2025 bowman baseball blaster box | 2025 bowman baseball hobby box | 2025 bowman baseball jumbo box | 2025 bowman baseball mega box | 2025 topps update baseball base #us1-us175 | 2025 topps update baseball base #us176-350 | frank thomas 1990 topps signed rookie card rc bgs 10 auto slabbed #414 | frank thomas 1990 topps signed rookie card rc bgs slabbed white sox #414 | mike trout 2011 topps update | mike trout psa 10 2011 topps update #us175 gold rookie card rc gem mint /2011 | topps baseball cards | topps baseball cards 1959-1993 | topps update shohei ohtani rookie card | topps vintage baseball cards 1950s-1980s,149
235,baseball cards,1937 lou gehrig new york yankees game worn home jersey | 1952 mickey mantle baseball card sgc 9.5 | 1972 joseph krsnich yankees mlb draft pick | 1981 joe carter cubs mlb draft pick | 1981 pirates jim bibby baseball card | 1982 bryan oelkers twins mlb draft pick | 1982 milwaukee brewers police baseball cards | 1983 erik sonberg dodgers mlb draft pick | 1983 russ morman white sox mlb draft pick | 1991 tyler green phillies mlb draft pick | 1993 darren dreifort dodgers mlb draft pick | 1995 mike drumright tigers mlb draft pick | 1996 braden looper cardinals mlb draft pick | 1998 aagpbl induction memorabilia canadian baseball hall of fame | 1999 ben christensen cubs mlb draft pick | 2002 world series | 2005 mike pelfrey mets mlb draft pick | 2006 kris johnson red sox mlb draft pick | 2008 conor gillaspie giants mlb draft pick | 2009 mike trout superfractor autograph | 2014 casey gillaspie rays mlb draft pick | 2014 world series | 2015 colorado rockies coors field mlb game | 2018 alec bohm phillies mlb draft pick | 2023 world series | 2024 evan carter rangers rookie card | 2024 jackson chourio brewers rookie card | 2024 jackson holliday orioles rookie card | 2024 jackson merrill padres rookie card | 2024 james wood nationals rookie card | 2024 junior caminero rays rookie card | 2024 masyn winn cardinals rookie card | 2024 paul skenes pirates rookie card | 2024 wyatt langford rangers rookie card | 2024 yoshinobu yamamoto dodgers rookie card | 2025 milwaukee brewers police brice turang comic-style trading card | 2025 milwaukee brewers police christian yelich comic-style trading card | 2025 milwaukee brewers police jackson chourio comic-style trading card | 2025 milwaukee brewers police joey ortiz comic-style trading card | 2025 milwaukee brewers police sal frelick comic-style trading card | 2025 milwaukee brewers police trading card set | 2025 milwaukee brewers police william contreras comic-style trading card | 2025 world series game 7 home run ball | 5 baseball cards autographed a. dawson l. varland d holmberg a judge t maule | a. diaz de arce cardenas baseball card 1943 cuba | aaron judge new york yankees jersey | abelardo espinosa santiago baseball card 1943 cuba | abelardo lozano yara baseball card 1943 cuba | abelardo martinez circulo de artesanos baseball card 1943 cuba | adolfo mesa artemisa baseball card 1943 cuba | adolfo tenias pilar baseball card 1943 cuba | adrian zabala baseball card no. 69 cuba | agapito mayor baseball card no. 92 cuba | agustin cordeiro fortuna baseball card 1943 cuba | alberto fabregas cienfuegos baseball card 1943 cuba | alejandro gomez circulo de artesanos baseball card 1943 cuba | alejandro minon casino espanol baseball card 1943 cuba | alejo garriga cardenas baseball card 1943 cuba | alfonso rodriguez cubaneleco baseball card 1943 cuba | babe ruth 1932 game-worn jersey | babe ruth 1932 world series game-worn shirt | baseball cards 1933-2020 | baseball hit box - all-star | baseball hit box - hall of fame | baseball hit box - rookie | baseball hit box - veteran | christy mathewson ty cobb 1st edition print framed & matted baseball card reproduction | freddie freeman 2024 world series walk-off grand slam baseball | honus wagner card | hyeseong kim baseball rookie card | jacob misiorowski baseball rookie card | jacob wilson baseball rookie card | juan soto new york mets jersey | mickey mantle card | miguel rojas 2025 world series game 7 home run ball | mlb autographed baseball aaron judge | nick kurtz oakland athletics rookie card | nolan ryan (6th no hitter) single game ticket | pre-war baseball cards printed before 1945 | psa-grades-baseball baseball card images graded by psa | sgc graded baseball card | shohei ohtani los angeles dodgers jersey | will smith 2025 world series game 7 home run ball,83
418,football panini prizm draft picks cards,2024 panini prizm draft picks arch manning #192 | 2024 panini prizm draft picks arch manning green #192 | 2024 panini prizm draft picks arch manning neon pink pulsar #192 /15 | 2024 panini prizm draft picks arch manning orange pulsar #192 /49 | 2024 panini prizm draft picks arch manning purple wave #192 | 2024 panini prizm draft picks arch manning red #192 /299 | 2024 panini prizm draft picks arch manning red flash #192 /49 | 2024 panini prizm draft picks arch manning red ice #192 | 2024 panini prizm draft picks arch manning silver #192 | 2024 panini prizm draft picks bo nix green rc #105 | 2024 panini prizm draft picks bo nix rc #105 | 2024 panini prizm draft picks bo nix red ice #105 | 2024 panini prizm draft picks bo nix silver #105 | 2024 panini prizm draft picks brock bowers red ice #107 | 2024 panini prizm draft picks caleb williams #201 | 2024 panini prizm draft picks cameron ward #199 | 2024 panini prizm draft picks cameron ward red ice rc #199 | 2024 panini prizm draft picks cameron ward silver #199 | 2024 panini prizm draft picks carson beck #130 | 2024 panini prizm draft picks dillon gabriel #197 | 2024 panini prizm draft picks dj lagway red ice #182 | 2024 panini prizm draft picks drake maye green shimmer #103 /8 | 2024 panini prizm draft picks drake maye purple wave #103 | 2024 panini prizm draft picks drake maye rc #103 | 2024 panini prizm draft picks drake maye red ice rc #103 | 2024 panini prizm draft picks drake maye silver rc #103 | 2024 panini prizm draft picks dylan raiola red ice #194 | 2024 panini prizm draft picks j.j. mccarthy rc #132 | 2024 panini prizm draft picks j.j. mccarthy red ice #132 | 2024 panini prizm draft picks jalen hurts red ice #99 | 2024 panini prizm draft picks jaxson dart #147 | 2024 panini prizm draft picks jaxson dart green #147 | 2024 panini prizm draft picks jaxson dart purple wave #147 | 2024 panini prizm draft picks jaxson dart red flash #147 /49 | 2024 panini prizm draft picks jaxson dart ruby wave #147 | 2024 panini prizm draft picks jaxson dart silver #147 | 2024 panini prizm draft picks jayden daniels rc #108 | 2024 panini prizm draft picks jayden daniels red ice rc #108 | 2024 panini prizm draft picks jim harbaugh gold vinyl #50 /1 | 2024 panini prizm draft picks joe milton iii rc #157 | 2024 panini prizm draft picks joe milton iii red ice #157 | 2024 panini prizm draft picks jordan whittington gold vinyl #170 /1 | 2024 panini prizm draft picks julian sayin #193 | 2024 panini prizm draft picks julian sayin blue finite #193 /89 | 2024 panini prizm draft picks marvin harrison jr. black shimmer #104 /1 | 2024 panini prizm draft picks marvin harrison jr. rc #104 | 2024 panini prizm draft picks michael penix jr. rc #101 | 2024 panini prizm draft picks patrick mahomes ii red ice #61 | 2024 panini prizm draft picks quinn ewers #191 | 2024 panini prizm draft picks quinn ewers red ice #191 | prizm draft picks football 2025 hobby box,51
457,football cards,1983 first inaugural usfl ticket blitz v. federals graded psa 3 rfk stadium | 2017 patrick mahomes rookie auto bgs 8.5 | aaron donald signed sports illustrated nfl jsa certified auto los angeles rams | bgs black label football card | brian thomas jr rookie card | c.j. stroud houston texans jersey | caleb williams chicago bears jersey | cam skattebo new york giants rookie card | cj stroud psa 10 football card | football cards 1948-2020 | football hit box - all-star | football hit box - hall of fame | football hit box - rookie | football hit box - veteran | ja'marr chase cincinnati bengals jersey | jaguars game used piece | jalen hurts philadelphia eagles jersey | joe montana rookie football card | john elway rookie card graded by company-1 | josh allen buffalo bills jersey | justin jefferson minnesota vikings jersey | kenny pickett autographed jersey | lamar jackson baltimore ravens jersey | micah parsons dallas cowboys jersey | nfl autographed football aaron rodgers | nfl autographed helmet joe namath | nfl trading card packs | patrick mahomes kansas city chiefs jersey | patrick mahomes rookie trading card | patrick mahomes rpa football card | psa graded football card | saquon barkley new york giants jersey | tetairoa mcmillan carolina panthers rookie autograph card | tj watt pittsburgh steelers jersey | tom brady rookie card graded by company-1 | tom brady rookie football card | tony boselli hall of fame signed item | trevor lawrence autograph card | trevor lawrence rookie card,39
297,basketball panini prizm cards,2013 panini prizm giannis antetokounmpo rookie card | 2013-14 panini prizm black mosaic giannis antetokounmpo 1/1 | 2013-14 panini prizm prizms black mosaic giannis antetokounmpo #290 1/1 bgs gm-mt 9.5 | 2016/17 panini prizm basketball mosaic box | 2017 panini prizm jayson tatum rookie card | 2018 panini prizm gold luka doncic #280 3/10 psa 10 | 2018 panini prizm luka dončić rookie card | 2018-19 panini prizm #184 shai gilgeous-alexander rookie card | 2019-20 panini prizm basketball | 2021-22 panini prizm hobby box basketball | 2022 panini prizm basketball cards | 2023-24 panini prizm orange ice prizm #150 amen thompson psa 10 | 2024 panini prizm angel reese rookie card | 2024 panini prizm caitlin clark 1-of-1 gold autograph insert | 2024 panini prizm caitlin clark rookie card | 2024 panini prizm paige bueckers rookie card | 2024/25 panini prizm basketball blaster box | 2024/25 panini prizm basketball hobby box | luka doncic 2018 panini prizm rookie psa 10 | panini prizm 2024-25 nba trading cards | panini prizm basketball cards | panini prizm basketball hobby box | panini prizm basketball pack | panini prizm basketball true gold /10 | panini prizm basketball true team color match,25
299,basketball panini prizm draft picks cards,2021-22 panini prizm draft picks basketball cade cunningham base card #1 | 2021-22 panini prizm draft picks basketball college penmanship cade cunningham autograph | 2021-22 panini prizm draft picks basketball draft picks autographs jalen suggs autograph | 2021-22 panini prizm draft picks basketball fotl box | 2021-22 panini prizm draft picks basketball hobby box | 2021-22 panini prizm draft picks basketball hobby choice box | 2021-22 panini prizm draft picks basketball hobby h2 box | 2021-22 panini prizm draft picks basketball jalen green base card #4 | 2021-22 panini prizm draft picks basketball white sparkle pack | 2024 panini prizm draft picks basketball 1st off the line box | 2024 panini prizm draft picks basketball bronny james jr. #86 base variation | 2024 panini prizm draft picks basketball caitlin clark #57 base | 2024 panini prizm draft picks basketball hobby box | 2024 panini prizm draft picks basketball trae young campus favorites signatures autograph | 2024 panini prizm draft picks basketball zach edey #1 base | 2024 panini prizm draft picks basketball zach edey campus favorites signatures autograph | 2024 panini prizm draft picks women's basketball hobby blaster | 2024 prizm draft picks #14 caitlin clark new recruits | 2024 prizm draft picks #14 caitlin clark new recruits silver | 2024 prizm draft picks #23 caitlin clark all-american red ice | 2024 prizm draft picks #24 caitlin clark fearless silver | 2024 prizm draft picks #5 caitlin clark campus legends | 2024 prizm draft picks #5 caitlin clark campus legends purple ice /149 | 2024 prizm draft picks #57 caitlin clark orange ice | 2024 prizm draft picks #8 caitlin clark deep space silver,25
361,basketball cards,2003 autographed lebron james card | 2003-04 lebron james rookie patch autograph | 2007 nba trading card michael jordan kobe bryant dual autograph | 2018-19 luka doncic 1:1 logoman autographed | basketball cards 1948-2020 | basketball hit box - all-star | basketball hit box - rookie | basketball hit box - veteran | beckett graded basketball card | kevin durant phoenix suns jersey | kobe bryant los angeles lakers game 1 2009 nba finals jersey | lebron james los angeles lakers jersey | lebron james michael jordan dual patch autograph card | lebron james rookie card | luka doncic 1/1 logoman auto | luka doncic 1:1 logoman autographed card | michael jordan 1998 chicago bulls game-worn jersey | michael jordan game-worn jersey | michael jordan rookie basketball card | nba autographed jersey lebron james | paige bueckers autographed memorabilia | steph curry golden state warriors jersey | victor wembanyama san antonio spurs jersey | wilt chamberlain rookie card psa 6 | wnba trading cards,25
69,baseball goudey goudey cards,1933 goudey babe ruth #144 | 1933 goudey babe ruth #149 | 1933 goudey babe ruth #181 | 1933 goudey babe ruth #53 | 1933 goudey babe ruth #53 psa mint 9 | 1933 goudey benny bengough #1 | 1933 goudey carl hubbell #230 | 1933 goudey carl hubbell #234 | 1933 goudey charlie gehringer #222 | 1933 goudey dizzy dean #223 | 1933 goudey hack wilson #211 | 1933 goudey jimmie foxx #154 | 1933 goudey jimmie foxx #29 | 1933 goudey lefty grove #220 | 1933 goudey lou gehrig #160 | 1933 goudey lou gehrig #92 | 1933 goudey mel ott #127 | 1933 goudey mel ott #207 | 1933 goudey moe berg #158 | 1933 goudey nap lajoie #106 | 1933 goudey rogers hornsby #119 | 1933 goudey rogers hornsby #188,22
291,basketball panini national treasures cards,"2009 panini national treasures logoman autograph stephen curry psa nm-mt 8 | 2009 panini national treasures stephen curry logoman autographed patch rookie card | 2009-10 panini national treasures century platinum stephen curry rookie patch autograph 4/5 psa mint 9, auto 10 | 2009-10 panini national treasures stephen curry rookie logoman autograph 1/1 psa nm-mt 8 / auto 10 | 2009/10 panini national treasures stephen curry century platinum #206 signed patch rookie card 3/5 bgs 9.5 auto 10 | 2012-13 national treasures anthony davis #151 signed nba logoman patch rookie card 1/1 bgs 9 auto 10 | 2012-13 panini national treasures anthony davis #151 nba logoman rookie patch autographs 1/1 bgs mt 9/10 | 2013-14 panini national treasures giannis antetokounmpo logoman patch autograph 1/1 bgs mt 9 | 2013-14 panini national treasures giannis antetokounmpo nba logoman patch 1/1 bgs 9 auto 10 | 2013–14 panini national treasures logoman patch autograph giannis antetokounmpo bgs mt 9 | 2018 panini national treasures logoman autograph luka dončić | 2018 panini national treasures luka doncic 1 of 1 logoman autograph authentic | 2018 panini national treasures luka dončić logoman autograph rookie card | 2018 panini national treasures luka dončić logoman autographed patch rookie card | 2018-19 panini national treasures luka doncic logoman 1/1 | 2018-19 panini national treasures luka doncic logoman autograph rookie card | 2018-19 panini national treasures luka dončić nba logoman patch | 2024-25 panini national treasures basketball international hobby box | panini national treasures basketball base rpa /99 | panini national treasures basketball sealed case | panini national treasures basketball vertical gold parallel rpa /10 | panini national treasures basketball vertical team color rpa",22
136,baseball topps chrome cards,2009 bowman chrome mike trout superfractor autograph | 2010 bowman chrome stephen strasburg superfractor | 2010 topps chrome superfractor #28 ken griffey jr. 1/1 psa 9 mint mariners | 2018 bowman chrome luis robert superfractor autograph | 2018 bowman chrome shohei ohtani national convention psa 10 | 2018 bowman chrome shohei ohtani superfractor autograph | 2019 bowman chrome wander franco superfractor autograph | 2022 topps chrome baseball cards | 2023 bowman chrome first autograph roman anthony | 2024 bowman chrome first autograph dylan crews | 2024 bowman chrome first autograph walker jenkins | 2024 topps chrome baseball breaker delight box | 2024 topps chrome rookie autographs /499 refractor pete crow-armstrong | 2025 bowman chrome breaker's delight box | 2025 bowman chrome hobby box | 2025 topps chrome logofractor paul skenes image variation rose gold 1/1 | 2025 topps chrome mega box | bowman chrome baseball pack | bowman chrome shohei ohtani rookie card | clayton kershaw 2012 bowman chrome superfractor psa 9 dodgers #45 1/1 | topps chrome shohei ohtani rookie card,21
